Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/03/12,17134.648,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,1970/01/01,17134.1,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2018/08/14,17134.228,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/01/08,17134.523,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/04/09,17134.706,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2018/09/11,17134.285,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2018/06/12,17134.112,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/06/11,17134.829,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/05/19,17134.766,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/07/09,17134.885,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
