Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
50,0,Information,Application,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
50,0,Information,Application,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Access to {AttemptedPath} is monitored by policy rule {SrpRuleGuid}.,{AttemptedPath} | {SrpRuleGuid}
