Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,22H2,Pro,2022/11/15,19045.2251,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H2,Pro,2022/11/15,19044.2251,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H2,Pro,2022/10/18,19044.213,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H2,Pro,2022/09/20,19044.2006,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
