Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/07/09,17134.885,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/08/13,17134.95,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/02/11,17763.1039,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2018/11/13,17763.107,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2018/11/13,17763.107,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/03/12,17763.1098,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/04/14,17763.1158,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
