Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/05/11,19041.985,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/05/11,19041.985,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/04/13,19041.928,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/04/13,19041.928,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/03/09,19041.867,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/03/09,19041.867,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/02/09,19041.804,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/02/09,19041.804,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/01/12,19041.746,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/01/12,19041.746,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2020/12/08,19041.685,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2020/12/08,19041.685,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
