Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
