Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/04/13,19041.928,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/03/09,19041.867,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/02/09,19041.804,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/01/12,19041.746,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2020/12/08,19041.685,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2020/11/10,19041.63,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
