Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,,,,Error,Windows 10,2004,Pro,2021/07/13,19041.111,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,20H2,Pro,2021/07/13,19041.111,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,2004,Pro,2021/06/08,19041.1052,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,20H2,Pro,2021/06/08,19041.1052,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/07/14,18363.959,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/06/09,18363.9,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/05/12,18363.836,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/04/14,18363.778,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/03/12,18363.72,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/02/11,18363.657,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/01/14,18363.592,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2019/12/10,18363.535,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2019/10/05,18363.418,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/06/08,18363.1621,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/05/11,18363.1556,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/04/13,18363.15,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/03/09,18363.144,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/02/11,18363.1379,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2021/01/12,18363.1316,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/12/08,18363.1256,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/11/10,18363.1198,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/10/13,18363.1139,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/09/08,18363.1082,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1909,Pro,2020/08/11,18363.1016,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/07/14,18362.959,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/05/12,18362.836,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/03/12,18362.72,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/02/11,18362.657,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/12/10,18362.535,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/11/12,18362.476,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/09/10,18362.356,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/03/29,18362.3,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/07/09,18362.239,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/06/11,18362.175,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/12/08,18362.1256,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/11/10,18362.1198,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/10/13,18362.1139,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2020/09/08,18362.1082,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1903,Pro,2019/12/10,18362.1016,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2020/01/14,17763.973,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/12/10,17763.914,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/11/12,17763.864,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/10/08,17763.805,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/09/10,17763.737,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/08/13,17763.678,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/07/09,17763.615,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/06/11,17763.557,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/05/19,17763.504,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/04/09,17763.437,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/03/12,17763.379,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2019/02/12,17763.316,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1803,Pro,2019/01/08,17763.253,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2018/12/11,17763.194,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2020/11/10,17763.1577,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2020/10/13,17763.1518,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2020/09/08,17763.1457,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
1,0,Error,,,,Error,Windows 10,1809,Pro,2020/08/11,17763.1397,Error: HRESULT: {P1_HexInt32} Location: {P2_String} Line Number: {P3_UInt32},{P1_HexInt32} | {P2_String} | {P3_UInt32}
