Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2022/02/15,19041.1526,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/02/15,19041.1526,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H2,Pro,2022/02/15,19041.1526,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/12/14,19041.1415,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/11/09,19041.1348,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/11/09,19041.1348,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/10/12,19041.1288,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/10/12,19041.1288,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/09/14,19041.1237,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/09/14,19041.1237,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/08/10,19041.1165,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/08/10,19041.1165,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/07/13,19041.111,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/07/13,19041.111,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/06/08,19041.1052,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/06/08,19041.1052,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/07/14,18363.959,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/06/09,18363.9,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/05/12,18363.836,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/04/14,18363.778,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/03/12,18363.72,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/02/11,18363.657,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/01/14,18363.592,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2019/12/10,18363.535,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2019/10/05,18363.418,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/06/08,18363.1621,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/05/11,18363.1556,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/04/13,18363.15,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/03/09,18363.144,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/02/11,18363.1379,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2021/01/12,18363.1316,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/12/08,18363.1256,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/11/10,18363.1198,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/10/13,18363.1139,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/09/08,18363.1082,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1909,Pro,2020/08/11,18363.1016,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/07/14,18362.959,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/05/12,18362.836,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/03/12,18362.72,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/02/11,18362.657,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/12/10,18362.535,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/11/12,18362.476,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/09/10,18362.356,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/03/29,18362.3,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/07/09,18362.239,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/06/11,18362.175,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/12/08,18362.1256,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/11/10,18362.1198,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/10/13,18362.1139,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2020/09/08,18362.1082,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1903,Pro,2019/12/10,18362.1016,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/01/14,17763.973,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/12/10,17763.914,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/11/12,17763.864,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/10/08,17763.805,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/09/10,17763.737,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/08/13,17763.678,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/07/09,17763.615,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/06/11,17763.557,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/05/19,17763.504,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/04/09,17763.437,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/03/12,17763.379,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2022/11/15,17763.365,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2019/02/12,17763.316,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1803,Pro,2019/01/08,17763.253,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2018/12/11,17763.194,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/11/10,17763.1577,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/10/13,17763.1518,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/09/08,17763.1457,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/08/11,17763.1397,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/07/14,17763.1339,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/06/09,17763.1282,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/05/12,17763.1217,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/04/14,17763.1158,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,1809,Pro,2020/03/12,17763.1098,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,Error in file {Str} on line {Int},{Str} | {Int}
