Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2022/03/15,19041.1586,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,21H2,Pro,2022/02/15,19041.1526,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,21H1,Pro,2022/02/15,19041.1526,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2022/02/15,19041.1526,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/12/14,19041.1415,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/11/09,19041.1348,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/11/09,19041.1348,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/10/12,19041.1288,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/10/12,19041.1288,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/09/14,19041.1237,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/09/14,19041.1237,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/08/10,19041.1165,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/08/10,19041.1165,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/07/13,19041.111,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/07/13,19041.111,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/06/08,19041.1052,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
