Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/01/11,19044.1466,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2021/10/12,19044.1288,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/04/13,19043.928,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/08/16,19043.1889,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 11,21H1,Pro,2022/07/19,19043.1826,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/06/21,19043.1766,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/05/17,19043.1706,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/04/19,19043.1645,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/01/11,19043.1466,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/12/14,19043.1415,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2021/12/14,19043.1415,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/11/09,19043.1348,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/10/12,19043.1288,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/09/14,19043.1237,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/08/10,19043.1165,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/07/13,19043.111,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2021/06/08,19043.1052,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2022/04/19,19042.1645,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2022/01/11,19042.1466,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/05/11,19041.985,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/05/11,19041.985,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/04/13,19041.928,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/04/13,19041.928,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/03/09,19041.867,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/03/09,19041.867,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/02/09,19041.804,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/02/09,19041.804,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/01/12,19041.746,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/01/12,19041.746,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/12/08,19041.685,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2020/12/08,19041.685,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2020/11/19,19041.631,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/11/10,19041.63,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/10/13,19041.572,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/09/08,19041.508,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/08/11,19041.45,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/07/14,19041.388,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/06/09,19041.329,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/05/27,19041.264,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2020/04/16,19041.208,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/03/15,19041.1586,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2022/03/15,19041.1586,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/03/15,19041.1586,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H1,Pro,2022/02/15,19041.1526,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2022/02/15,19041.1526,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/02/15,19041.1526,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/12/14,19041.1415,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/11/09,19041.1348,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/11/09,19041.1348,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/10/12,19041.1288,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/10/12,19041.1288,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/09/14,19041.1237,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/09/14,19041.1237,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/08/10,19041.1165,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/08/10,19041.1165,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/07/13,19041.111,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/07/13,19041.111,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,2004,Pro,2021/06/08,19041.1052,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,20H2,Pro,2021/06/08,19041.1052,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
1,0,Error,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed Failure,Windows 11,21H2,Pro,2022/08/16,22000.856,Cloud sync allowed value change; setting {CallerUserSid}2; failed,{CallerUserSid}
