Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,22H2,Pro,2023/03/21,19045.2728,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/10/18,19044.213,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
