Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2023/02/21,22000.1574,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2023/01/17,22000.1455,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/12/20,22000.1335,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/11/15,22000.1219,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
