Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/04/13,19043.928,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
