Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
