Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2021/05/11,19041.985,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2021/04/13,19041.928,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2021/03/09,19041.867,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
