Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/08/10,19043.1165,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/07/13,19043.111,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/06/08,19043.1052,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2022/04/19,19042.1645,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2022/01/11,19042.1466,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2021/05/11,19041.985,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2021/05/11,19041.985,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2021/04/13,19041.928,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2021/04/13,19041.928,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2021/03/09,19041.867,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2021/03/09,19041.867,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2021/02/09,19041.804,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2021/02/09,19041.804,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2021/01/12,19041.746,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
