Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/04/13,18363.15,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/03/09,18363.144,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/07/14,18362.959,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/05/12,18362.836,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/03/12,18362.72,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/02/11,18362.657,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.535,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/11/12,18362.476,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/09/10,18362.356,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/03/29,18362.3,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/07/09,18362.239,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/06/11,18362.175,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
101,0,Information,Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Successfully ran {Type} troubleshooter '{Title}'. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
