Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
