Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2022/05/17,19044.1706,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2022/04/19,19044.1645,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2022/01/11,19044.1466,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2021/10/12,19044.1288,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H1,Pro,2021/04/13,19043.928,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H1,Pro,2022/06/21,19043.1766,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H1,Pro,2022/05/17,19043.1706,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H1,Pro,2022/04/19,19043.1645,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H1,Pro,2022/01/11,19043.1466,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2021/12/14,19043.1415,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
