Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/06/11,18362.175,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/01/14,17763.973,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/12/10,17763.914,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/11/12,17763.864,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/10/08,17763.805,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/09/10,17763.737,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/08/13,17763.678,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/07/09,17763.615,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/06/11,17763.557,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/05/19,17763.504,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/04/09,17763.437,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/03/12,17763.379,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2019/02/12,17763.316,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1803,Pro,2019/01/08,17763.253,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,{process}: {payload},{process} | {payload}
