Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/08/16,19044.1889,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 11,21H2,Pro,2022/07/19,19044.1826,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/06/21,19044.1766,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/05/17,19044.1706,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/04/19,19044.1645,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/01/11,19044.1466,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2021/10/12,19044.1288,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H1,Pro,2021/04/13,19043.928,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H1,Pro,2022/08/16,19043.1889,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 11,21H1,Pro,2022/07/19,19043.1826,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
