Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,22H2,Pro,2022/11/15,19045.2251,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/11/15,19044.2251,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/10/18,19044.213,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/09/20,19044.2006,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/08/16,19044.1889,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/07/19,19044.1826,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/06/21,19044.1766,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/05/17,19044.1706,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/04/19,19044.1645,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2022/01/11,19044.1466,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2021/10/12,19044.1288,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/04/13,19043.928,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/11/15,19043.2251,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/10/18,19043.213,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/09/20,19043.2006,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/08/16,19043.1889,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/07/19,19043.1826,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/06/21,19043.1766,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/05/17,19043.1706,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/04/19,19043.1645,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2022/01/11,19043.1466,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/12/14,19043.1415,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H2,Pro,2021/12/14,19043.1415,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/11/09,19043.1348,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/10/12,19043.1288,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/09/14,19043.1237,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/08/10,19043.1165,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/07/13,19043.111,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,21H1,Pro,2021/06/08,19043.1052,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2022/04/19,19042.1645,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2022/01/11,19042.1466,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2021/05/11,19041.985,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2021/05/11,19041.985,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2021/04/13,19041.928,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2021/04/13,19041.928,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
