Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/10/13,17763.1518,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/11/10,17763.1577,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2018/12/11,17763.194,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/01/08,17763.253,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/02/12,17763.316,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2019/03/12,17763.379,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/03/12,17763.379,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/04/09,17763.437,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
