Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
