Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Operational,,,SecureAssessment,Windows 10,1903,Pro,2020/09/08,18362.1082,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1903,Pro,2019/12/10,18362.1016,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2020/01/14,17763.973,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/12/10,17763.914,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/11/12,17763.864,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/10/08,17763.805,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/09/10,17763.737,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/08/13,17763.678,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/07/09,17763.615,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/06/11,17763.557,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/05/19,17763.504,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/04/09,17763.437,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/03/12,17763.379,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2019/02/12,17763.316,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1803,Pro,2019/01/08,17763.253,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2018/12/11,17763.194,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
100,0,Error,Operational,,,SecureAssessment,Windows 10,1809,Pro,2020/11/10,17763.1577,An error was encountered. (error code = {ErrorCode}; function = {Function}; line number = {LineNumber}),{ErrorCode} | {Function} | {LineNumber}
