Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/02/09,19041.804,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/01/12,19041.746,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/01/12,19041.746,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/12/08,19041.685,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2020/12/08,19041.685,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2020/11/19,19041.631,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/11/10,19041.63,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/10/13,19041.572,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/09/08,19041.508,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/08/11,19041.45,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
