Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/07/13,19043.111,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
