Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/10/18,19044.213,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/09/20,19044.2006,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/08/16,19044.1889,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/07/19,19044.1826,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/06/21,19044.1766,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/05/17,19044.1706,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
