Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/06/21,19044.1766,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/05/17,19044.1706,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/04/19,19044.1645,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/01/11,19044.1466,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2021/10/12,19044.1288,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/04/13,19043.928,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/11/15,19043.2251,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/10/18,19043.213,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/09/20,19043.2006,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/08/16,19043.1889,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/07/19,19043.1826,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/06/21,19043.1766,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/05/17,19043.1706,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
