Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/10/18,19043.213,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
