Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/07/14,19041.388,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/06/09,19041.329,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/05/27,19041.264,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2020/04/16,19041.208,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,21H2,Pro,2022/03/15,19041.1586,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,21H1,Pro,2022/03/15,19041.1586,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2022/03/15,19041.1586,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,21H2,Pro,2022/02/15,19041.1526,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,21H1,Pro,2022/02/15,19041.1526,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2022/02/15,19041.1526,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/12/14,19041.1415,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/11/09,19041.1348,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/11/09,19041.1348,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/10/12,19041.1288,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/10/12,19041.1288,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/09/14,19041.1237,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/09/14,19041.1237,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/08/10,19041.1165,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/08/10,19041.1165,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/07/13,19041.111,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/07/13,19041.111,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,2004,Pro,2021/06/08,19041.1052,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,20H2,Pro,2021/06/08,19041.1052,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/07/14,18363.959,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/06/09,18363.9,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/05/12,18363.836,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/04/14,18363.778,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/03/12,18363.72,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/02/11,18363.657,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/01/14,18363.592,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2019/12/10,18363.535,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2019/10/05,18363.418,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/06/08,18363.1621,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/05/11,18363.1556,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/04/13,18363.15,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/03/09,18363.144,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/02/11,18363.1379,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2021/01/12,18363.1316,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/12/08,18363.1256,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/11/10,18363.1198,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/10/13,18363.1139,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/09/08,18363.1082,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1909,Pro,2020/08/11,18363.1016,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
