Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/01/14,17763.973,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/12/10,17763.914,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/11/12,17763.864,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/10/08,17763.805,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/09/10,17763.737,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/08/13,17763.678,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/07/09,17763.615,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/06/11,17763.557,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/05/19,17763.504,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/04/09,17763.437,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/03/12,17763.379,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2019/02/12,17763.316,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1803,Pro,2019/01/08,17763.253,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2018/12/11,17763.194,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/09/08,17763.1457,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/08/11,17763.1397,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/07/14,17763.1339,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/06/09,17763.1282,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/05/12,17763.1217,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/04/14,17763.1158,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/03/12,17763.1098,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2018/11/13,17763.107,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,1,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 10,1809,Pro,2020/02/11,17763.1039,NVDIMM {DeviceGuid} failed to start. {Reason},{DeviceGuid} | {Reason}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
201,2,Critical,Microsoft-Windows-PersistentMemory-Nvdimm/Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,NVDIMM {DeviceGuid} failed to start. {VendorId},{DeviceGuid} | {VendorId}
