Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/10/18,19044.213,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
