Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/07/13,19041.111,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,1909,Pro,2020/07/14,18363.959,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,1909,Pro,2020/06/09,18363.9,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,1909,Pro,2020/05/12,18363.836,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,1909,Pro,2020/04/14,18363.778,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
1,1,Information,,Scheduler_Priority_Change,,,Windows 10,1909,Pro,2020/03/12,18363.72,Thread priority of ({ProcessID}.{ThreadID}) in task {TaskIndex} has changed to {Priority}.,{ProcessID} | {ThreadID} | {TaskIndex} | {Priority}
