Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2021/10/12,19044.1288,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/04/13,19043.928,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2022/06/21,19043.1766,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2022/05/17,19043.1706,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2022/04/19,19043.1645,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2022/01/11,19043.1466,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H2,Pro,2021/12/14,19043.1415,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/12/14,19043.1415,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/11/09,19043.1348,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/10/12,19043.1288,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
