Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/10/18,19044.213,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
