Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 11,21H1,Pro,2022/07/19,19043.1826,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
10000,0,Error,Microsoft-Windows-OtpCredentialProvider/Operational,,,,Windows 10,2004,Pro,2021/05/11,19041.985,A connection cannot be established to Remote Access server {serverAddress} using base path {path} and port ({port}). Error code: {errCode}.,{serverAddress} | {path} | {port} | {errCode}
