Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/12/14,19041.1415,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/11/09,19041.1348,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,2004,Pro,2021/11/09,19041.1348,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/10/12,19041.1288,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,2004,Pro,2021/10/12,19041.1288,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/09/14,19041.1237,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,2004,Pro,2021/09/14,19041.1237,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/08/10,19041.1165,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,2004,Pro,2021/08/10,19041.1165,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,20H2,Pro,2021/07/13,19041.111,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 10,2004,Pro,2021/07/13,19041.111,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
