Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/07/19,19044.1826,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/06/21,19044.1766,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/05/17,19044.1706,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/04/19,19044.1645,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/01/11,19044.1466,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2021/10/12,19044.1288,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2021/04/13,19043.928,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/11/15,19043.2251,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/10/18,19043.213,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/09/20,19043.2006,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/08/16,19043.1889,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/07/19,19043.1826,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/06/21,19043.1766,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/05/17,19043.1706,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/04/19,19043.1645,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/01/11,19043.1466,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2021/12/14,19043.1415,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
