Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/04/09,17763.437,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/03/12,17763.379,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2022/11/15,17763.365,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2019/02/12,17763.316,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1803,Pro,2019/01/08,17763.253,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2018/12/11,17763.194,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,{Caption}-{Text},{Caption} | {Text}
81,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,{Caption}-{Text},{Caption} | {Text}
