Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/01/14,17763.973,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/12/10,17763.914,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/11/12,17763.864,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/10/08,17763.805,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/09/10,17763.737,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/08/13,17763.678,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/07/09,17763.615,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/06/11,17763.557,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/05/19,17763.504,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/04/09,17763.437,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/03/12,17763.379,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
