Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2019/12/10,18363.535,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2019/10/05,18363.418,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/06/08,18363.1621,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/05/11,18363.1556,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/04/13,18363.15,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/03/09,18363.144,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/02/11,18363.1379,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2021/01/12,18363.1316,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/12/08,18363.1256,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/11/10,18363.1198,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/10/13,18363.1139,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/09/08,18363.1082,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1909,Pro,2020/08/11,18363.1016,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
