Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-VmSwitch|124||NIC {NicName} (Friendly Name: {NicFName}) restarted.
Microsoft-Windows-Hyper-V-VmSwitch|125||Media connected on NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|126||Media disconnected on NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|127|System|The Isolation configuration could not be deleted from port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}). Reason: {FailReason}
Microsoft-Windows-Hyper-V-VmSwitch|128|System|The Isolation configuration set on port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) is invalid. Reason: {FailReason}, Ext1: {PortNameLen}0, Ext2: {PortNameLen}1
Microsoft-Windows-Hyper-V-VmSwitch|129|System|The Routing Domain configuration (Routing Domain: {PortNameLen}3, GUID: {PortNameLen}1) set on port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) is invalid. Reason: {FailReason}, Ext1: {PortNameLen}4, Ext2: {PortNameLen}5
Microsoft-Windows-Hyper-V-VmSwitch|130|System|Failed to complete Extended Port ACL policy operation on port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) - Direction: {Direction}, Action: {PortNameLen}0, LocalIPAddress: '{PortNameLen}2', RemoteIPAddress: '{PortNameLen}4', LocalPort: '{PortNameLen}6', RemotePort: '{PortNameLen}8', Protocol: {PortNameLen}9, Weight: {PortName}0, Stateful: {PortName}1, IdleSessionTimeout: {PortName}2, VirtualSubnetId: {PortName}3. Reason: {PortName}4
Microsoft-Windows-Hyper-V-VmSwitch|131||A packet was dropped on port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) because the packet is filtered by {Direction} extended port ACL entry with weight {PortNameLen}0.
Microsoft-Windows-Hyper-V-VmSwitch|132|System|The extension stack for Switch {SwitchName} (Friendly Name: {SwitchFName}) failed to start because an extension failed to Activate.
Microsoft-Windows-Hyper-V-VmSwitch|133||RSS queue {RssQueueIndex} from VMQ {VmqIndex} of switch {SwitchName} (Friendly Name: {SwitchFName}) is marked as a moving candidate of processor {ProcIndex}.
Microsoft-Windows-Hyper-V-VmSwitch|134||VMQ {VmqIndex} of switch {SwitchName} (Friendly Name: {SwitchFName}) is marked as a moving candidate of processor {ProcIndex}.
Microsoft-Windows-Hyper-V-VmSwitch|135||Processor {ProcIndex} is over {ProcUtil} percent.
Microsoft-Windows-Hyper-V-VmSwitch|136||Adjusted load of RSS queue {RssQueueIndex} from VMQ {VmqIndex} of switch {SwitchName} (Friendly Name: {SwitchFName}) on processor {ProcIndex} is {QueueLoad} percent.
Microsoft-Windows-Hyper-V-VmSwitch|137||Perspective load of RSS queue {RssQueueIndex} from VMQ {VmqIndex} of switch {SwitchName} (Friendly Name: {SwitchFName}) on processor {ProcIndex} is {QueueLoad} percent.
Microsoft-Windows-Hyper-V-VmSwitch|138||Adjusted load of VMQ {VmqIndex} on switch {SwitchName} (Friendly Name: {SwitchFName}) on processor {ProcIndex} is {QueueLoad} percent.
Microsoft-Windows-Hyper-V-VmSwitch|139||Perspective load of VMQ {VmqIndex} on switch {SwitchName} (Friendly Name: {SwitchFName}) on processor {ProcIndex} is {QueueLoad} percent.
Microsoft-Windows-Hyper-V-VmSwitch|140||Assigned processor of RSS queue {RssQueueIndex} of VMQ {VmqIndex} on switch {SwitchName} (Friendly Name: {SwitchFName}) was updated. The assigned processor for receives was {ReceiveProcIndex}, now {DestinationReceiveProcIndex}. The assigned channel for sends was {SendProcIndex}, now {SwitchNameLen}0.
Microsoft-Windows-Hyper-V-VmSwitch|141||The RSS queue group of VMQ {VmqIndex} from switch {SwitchName} (Friendly Name: {SwitchFName}) has been {IsActivate} on processor {ProcIndex}.
Microsoft-Windows-Hyper-V-VmSwitch|142||Virtual RSS configuration update failed on NIC {NicName} (Friendly Name: {NicFName}) of switch {SwitchName} (Friendly Name: {SwitchFName}) with status {NicNameLen}0. Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|143||Virtual RSS configuration update succeeded on NIC {NicName} (Friendly Name: {NicFName}) of switch {SwitchName} (Friendly Name: {SwitchFName}).
Microsoft-Windows-Hyper-V-VmSwitch|144||Driver Verifier failure in vmswitch. Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|145||Policy configuration failed. Reason: {FailReason}
Microsoft-Windows-Hyper-V-VmSwitch|146|System|Ndk adapter failed to open on behalf of virtual NIC {NicName} (Friendly Name: {NicFName}) on external NIC {PtNicName} (Friendly Name: {PtNicFName}). Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|147|System|Ndk adapter failed to close on behalf of virtual NIC {NicName} (Friendly Name: {NicFName}) on external NIC {PtNicName} (Friendly Name: {PtNicFName}). Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|148||Ndk Oid {NdisOid} for external NIC {PtNicNameLen} (Friendly Name: {FailReason}0) on behalf of virtual NIC {NicNameLen} (Friendly Name: {NicFNameLen}). Status: {Status}. Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|149|System|Ndk PnP event {NetEvent} successfully sent for virtual NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|150|System|Request RDMA failed for host virtual NIC {NicName} (Friendly Name: {NicFName}) on external NIC {PtNicName} (Friendly Name: {PtNicFName}). Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|151|System|Nic Switch VPort update failed (for RDMA) on behalf of virtual NIC {NicName} (Friendly Name: {NicFName}) on external NIC {PtNicName} (Friendly Name: {PtNicFName}). Reason: {FailReason}.
Microsoft-Windows-Hyper-V-VmSwitch|152||Replacing Member {OldMember} with new Member {NewMember} for load balancing
Microsoft-Windows-Hyper-V-VmSwitch|153||Excluding Member {Member} from load balancing
Microsoft-Windows-Hyper-V-VmSwitch|154||Using Member {Member} for load balancing
Microsoft-Windows-Hyper-V-VmSwitch|155||Starting ConnectTimer for Member {Member}
Microsoft-Windows-Hyper-V-VmSwitch|156||Stopping to use Member {Member} for load balancing
Microsoft-Windows-Hyper-V-VmSwitch|157||Priming Switch for TeamNic {TeamNic} using Member {Member}
Microsoft-Windows-Hyper-V-VmSwitch|158||Failing NBL send on Member {Member}
Microsoft-Windows-Hyper-V-VmSwitch|159||Failing NBL send on TeamNic {TeamNic}
Microsoft-Windows-Hyper-V-VmSwitch|160||Dropping NBLs on Member {Member}
Microsoft-Windows-Hyper-V-VmSwitch|161||DriverEntry exiting, Status = {Status}
Microsoft-Windows-Hyper-V-VmSwitch|162||Member {Member} created.
Microsoft-Windows-Hyper-V-VmSwitch|163||Aggregator {Aggregator} created.
Microsoft-Windows-Hyper-V-VmSwitch|164||Member {Member} placed in Team {TeamNic}, Status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|165||Indicating new link state for TeamNic {TeamNic}. StatusBuffer = {StatusBuffer}.
Microsoft-Windows-Hyper-V-VmSwitch|166||Default Aggregator for TeamNic {TeamNic} changed to {Receiver}.
Microsoft-Windows-Hyper-V-VmSwitch|167||BroadcastReceiver for TeamNic {TeamNic} changed to {Receiver}.
Microsoft-Windows-Hyper-V-VmSwitch|168||Initializing TeamNic {TeamNic}, Status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|169||Removing Aggregator {Aggregator} from TeamNic {TeamNic}.
Microsoft-Windows-Hyper-V-VmSwitch|170||Removed Member {Member} from TeamNic {TeamNic}.
Microsoft-Windows-Hyper-V-VmSwitch|171||Removing TeamNic {TeamNic}.
Microsoft-Windows-Hyper-V-VmSwitch|172||
Microsoft-Windows-Hyper-V-VmSwitch|173||Changing Aggregator for Member {Member} from {OldAggregator} to {NewAggregator}.
Microsoft-Windows-Hyper-V-VmSwitch|174||LACP Initializing for Member {Member}, Status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|175||LACP de-initialized for Member {Member}.
Microsoft-Windows-Hyper-V-VmSwitch|176||Received LACPDU on Member {Member}. Buffer= {Buffer}.
Microsoft-Windows-Hyper-V-VmSwitch|177||LBFO LACP Member {Member}; ReceiveMachine: {OldState}->{NewState}.
Microsoft-Windows-Hyper-V-VmSwitch|178||LBFO LACP Member {Member}; Periodic Transmission Machine: {OldState}->{NewState}.
Microsoft-Windows-Hyper-V-VmSwitch|179||LBFO LACP Member {Member}; Mux Machine: {OldState}->{NewState}.
